Race1_Beta	Race2_Beta	Sex_Beta	Age_Beta	Smoker_Beta	Insurace_Beta	Gestational_Beta	Z_Beta	Inflammation_Beta	Power_raceRace1	Power_raceRace2	Power_sex	Power_age	Power_smoke	Power_insurance	Power_gest	Power_zscore	Power_inflame
0.2	0.5	0.7	-0.01	0.2	0.4	-0.01	-0.05	-0.03	0.39018	0.68525	0.978579999999999	0.26229	0.25367	0.92593	0.38662	0.21945	0.0623633333333334
0.3	0.5	0.7	-0.01	0.2	0.4	-0.01	-0.05	-0.03	0.62766	0.68821	0.98744	0.24907	0.23087	0.93118	0.38339	0.22469	0.0611533333333333
0.5	0.5	0.7	-0.01	0.2	0.4	-0.01	-0.05	-0.03	0.930809999999999	0.68462	0.98539	0.28243	0.2488	0.93447	0.38935	0.22634	0.0607733333333334
0.2	0.7	0.7	-0.01	0.2	0.4	-0.01	-0.05	-0.03	0.40459	0.879753333333333	0.98579	0.32149	0.26391	0.9462	0.38537	0.22232	0.0629733333333333
0.3	0.7	0.7	-0.01	0.2	0.4	-0.01	-0.05	-0.03	0.60643	0.877263333333333	0.99036	0.33777	0.2703	0.948029999999999	0.40314	0.23627	0.0619433333333333
0.5	0.7	0.7	-0.01	0.2	0.4	-0.01	-0.05	-0.03	0.925519999999999	0.858216666666666	0.99064	0.34507	0.28007	0.952529999999999	0.41739	0.23664	0.0622033333333333
0.2	0.3	0.3	-0.05	0.2	0.4	-0.01	-0.05	-0.03	0.4296275	0.33726	0.80124	0.92065	0.24326	0.927970000000001	0.42639	0.19259	0.06331
0.3	0.3	0.3	-0.05	0.2	0.4	-0.01	-0.05	-0.03	0.659494166666667	0.35123	0.798850000000001	0.95272	0.24513	0.92938	0.42168	0.20455	0.06318
0.5	0.3	0.3	-0.05	0.2	0.4	-0.01	-0.05	-0.03	0.934977499999999	0.36552	0.824320000000001	0.96069	0.2738	0.934	0.4451	0.20055	0.06256
0.2	0.5	0.3	-0.05	0.2	0.4	-0.01	-0.05	-0.03	0.4243875	0.72784	0.82839	0.96239	0.26159	0.957179999999999	0.43522	0.21553	0.06322
0.3	0.5	0.3	-0.05	0.2	0.4	-0.01	-0.05	-0.03	0.670364166666667	0.74561	0.82715	0.96967	0.26919	0.962199999999999	0.45486	0.2501	0.0627
0.5	0.5	0.3	-0.05	0.2	0.4	-0.01	-0.05	-0.03	0.930227499999999	0.74062	0.84446	0.97729	0.29313	0.962819999999999	0.48464	0.25392	0.06298
0.2	0.7	0.3	-0.05	0.2	0.4	-0.01	-0.05	-0.03	0.427650833333334	0.91416	0.866799999999999	0.96241	0.31979	0.964919999999999	0.43109	0.24781	0.06427
0.3	0.7	0.3	-0.05	0.2	0.4	-0.01	-0.05	-0.03	0.686156666666667	0.905549999999999	0.867499999999999	0.99245	0.32742	0.965199999999999	0.45392	0.25288	0.06461
0.5	0.7	0.3	-0.05	0.2	0.4	-0.01	-0.05	-0.03	0.938579999999999	0.88204	0.87953	0.99238	0.35228	0.969049999999999	0.48013	0.26282	0.06502
0.2	0.3	0.5	-0.05	0.2	0.4	-0.01	-0.05	-0.03	0.41147	0.31777	0.96371	0.920676666666667	0.23268	0.91773	0.41371	0.18538	0.0621133333333334
0.3	0.3	0.5	-0.05	0.2	0.4	-0.01	-0.05	-0.03	0.628486666666667	0.32418	0.96482	0.93653	0.23512	0.92015	0.42945	0.19771	0.0617633333333334
0.5	0.3	0.5	-0.05	0.2	0.4	-0.01	-0.05	-0.03	0.932189999999999	0.34349	0.97012	0.94468	0.2636	0.92687	0.43043	0.1951	0.0618533333333334
0.2	0.5	0.5	-0.05	0.2	0.4	-0.01	-0.05	-0.03	0.39767	0.72173	0.982764999999999	0.96088	0.2402	0.953969999999999	0.41326	0.19262	0.0614233333333334
0.3	0.5	0.5	-0.05	0.2	0.4	-0.01	-0.05	-0.03	0.642616666666667	0.7283	0.985535	0.96911	0.24659	0.956079999999999	0.42709	0.21141	0.0599233333333333
0.5	0.5	0.5	-0.05	0.2	0.4	-0.01	-0.05	-0.03	0.942459999999999	0.72299	0.987964999999999	0.96914	0.26799	0.959139999999999	0.44416	0.21623	0.05946
0.2	0.7	0.5	-0.05	0.2	0.4	-0.01	-0.05	-0.03	0.42498	0.913326666666666	0.99204	0.96921	0.26908	0.961819999999999	0.43034	0.22459	0.0611133333333333
0.3	0.7	0.5	-0.05	0.2	0.4	-0.01	-0.05	-0.03	0.638316666666667	0.901326666666666	0.988480000000001	0.98497	0.27595	0.961069999999999	0.43367	0.22801	0.0614333333333333
0.5	0.7	0.5	-0.05	0.2	0.4	-0.01	-0.05	-0.03	0.947949999999999	0.88112	0.98798	0.98495	0.30213	0.965959999999999	0.45064	0.23731	0.06329
0.2	0.3	0.7	-0.05	0.2	0.4	-0.01	-0.05	-0.03	0.39237	0.29459	0.97632	0.92025	0.24352	0.894670000000001	0.38264	0.19659	0.0604833333333333
0.3	0.3	0.7	-0.05	0.2	0.4	-0.01	-0.05	-0.03	0.610016666666667	0.2924	0.97675	0.92081	0.26166	0.900320000000001	0.39242	0.20833	0.0601133333333334
0.5	0.3	0.7	-0.05	0.2	0.4	-0.01	-0.05	-0.03	0.935919999999999	0.308	0.97849	0.93693	0.26535	0.90506	0.40938	0.20513	0.0601533333333333
0.2	0.5	0.7	-0.05	0.2	0.4	-0.01	-0.05	-0.03	0.39123	0.67785	0.982359999999999	0.94433	0.24708	0.92907	0.37906	0.19911	0.0630533333333334
0.3	0.5	0.7	-0.05	0.2	0.4	-0.01	-0.05	-0.03	0.6169	0.6935	0.98702	0.94441	0.24449	0.93434	0.38641	0.20128	0.0613233333333334
0.5	0.5	0.7	-0.05	0.2	0.4	-0.01	-0.05	-0.03	0.928979999999999	0.69034	0.98898	0.96049	0.25986	0.93468	0.39512	0.20169	0.0610533333333334
0.2	0.7	0.7	-0.05	0.2	0.4	-0.01	-0.05	-0.03	0.41097	0.877573333333333	0.9916	0.96839	0.27282	0.94522	0.39059	0.1958	0.0617233333333333
0.3	0.7	0.7	-0.05	0.2	0.4	-0.01	-0.05	-0.03	0.59296	0.871683333333333	0.98949	0.97606	0.27219	0.947209999999999	0.40146	0.20865	0.0615533333333333
0.5	0.7	0.7	-0.05	0.2	0.4	-0.01	-0.05	-0.03	0.918539999999999	0.845706666666666	0.99297	0.98441	0.28669	0.951319999999999	0.41401	0.20931	0.0623533333333333
0.2	0.3	0.3	-0.1	0.2	0.4	-0.01	-0.05	-0.03	0.4372175	0.33025	0.796850000000001	0.94446	0.23931	0.925190000000001	0.42969	0.20431	0.06269
0.3	0.3	0.3	-0.1	0.2	0.4	-0.01	-0.05	-0.03	0.657844166666667	0.34366	0.794390000000001	0.97621	0.24179	0.929710000000001	0.4306	0.21904	0.06213
0.5	0.3	0.3	-0.1	0.2	0.4	-0.01	-0.05	-0.03	0.934907499999999	0.35998	0.817030000000001	0.97614	0.26717	0.93582	0.44803	0.2096	0.06164
0.2	0.5	0.3	-0.1	0.2	0.4	-0.01	-0.05	-0.03	0.4291975	0.73066	0.82872	0.96983	0.26168	0.960759999999999	0.43844	0.23213	0.06272
0.3	0.5	0.3	-0.1	0.2	0.4	-0.01	-0.05	-0.03	0.669684166666667	0.73886	0.82273	0.97733	0.26776	0.963259999999999	0.46126	0.24946	0.06233
0.5	0.5	0.3	-0.1	0.2	0.4	-0.01	-0.05	-0.03	0.9340975	0.7458	0.84275	0.98482	0.29505	0.964559999999999	0.47444	0.26466	0.06304
0.2	0.7	0.3	-0.1	0.2	0.4	-0.01	-0.05	-0.03	0.433660833333334	0.90717	0.86347	0.96202	0.32153	0.966963333333332	0.44844	0.25683	0.06431
0.3	0.7	0.3	-0.1	0.2	0.4	-0.01	-0.05	-0.03	0.690176666666667	0.902509999999999	0.86635	0.99245	0.33113	0.966533333333332	0.45881	0.25959	0.06471
0.5	0.7	0.3	-0.1	0.2	0.4	-0.01	-0.05	-0.03	0.942579999999999	0.88401	0.87852	0.99991	0.35767	0.970309999999999	0.48369	0.24912	0.06479
0.2	0.3	0.5	-0.1	0.2	0.4	-0.01	-0.05	-0.03	0.42224	0.3151	0.96501	0.93656	0.23008	0.917150000000001	0.41553	0.19706	0.0614833333333334
0.3	0.3	0.5	-0.1	0.2	0.4	-0.01	-0.05	-0.03	0.637656666666667	0.32884	0.95991	0.96033	0.24665	0.921880000000001	0.43621	0.21338	0.0617433333333333
0.5	0.3	0.5	-0.1	0.2	0.4	-0.01	-0.05	-0.03	0.936729999999999	0.3382	0.96566	0.97618	0.26129	0.92707	0.4344	0.21144	0.0610933333333334
0.2	0.5	0.5	-0.1	0.2	0.4	-0.01	-0.05	-0.03	0.40752	0.71187	0.977845	0.97616	0.25247	0.954679999999999	0.39958	0.19746	0.0608633333333334
0.3	0.5	0.5	-0.1	0.2	0.4	-0.01	-0.05	-0.03	0.646006666666667	0.72423	0.979445	0.97719	0.25999	0.956039999999999	0.42532	0.21433	0.0594233333333333
0.5	0.5	0.5	-0.1	0.2	0.4	-0.01	-0.05	-0.03	0.946739999999999	0.71371	0.983995	0.97681	0.26553	0.95854	0.4365	0.22373	0.06004
0.2	0.7	0.5	-0.1	0.2	0.4	-0.01	-0.05	-0.03	0.42619	0.899036666666666	0.988953333333334	0.97731	0.26659	0.963573333333333	0.42419	0.23062	0.0610033333333333
0.3	0.7	0.5	-0.1	0.2	0.4	-0.01	-0.05	-0.03	0.646406666666667	0.88218	0.985173333333334	0.98495	0.28171	0.964479999999999	0.4335	0.23337	0.0619033333333333
0.5	0.7	0.5	-0.1	0.2	0.4	-0.01	-0.05	-0.03	0.95211	0.87091	0.986643333333333	0.99248	0.29746	0.967049999999999	0.46041	0.25523	0.06362
0.2	0.3	0.7	-0.1	0.2	0.4	-0.01	-0.05	-0.03	0.4043	0.29459	0.97393	0.92837	0.24158	0.89494	0.39489	0.18487	0.0597033333333333
0.3	0.3	0.7	-0.1	0.2	0.4	-0.01	-0.05	-0.03	0.610076666666667	0.2928	0.97665	0.92099	0.25731	0.901890000000001	0.39855	0.20921	0.0592833333333333
0.5	0.3	0.7	-0.1	0.2	0.4	-0.01	-0.05	-0.03	0.942879999999999	0.30928	0.97835	0.95254	0.26202	0.90687	0.41517	0.20931	0.05955
0.2	0.5	0.7	-0.1	0.2	0.4	-0.01	-0.05	-0.03	0.3967	0.68179	0.977579999999999	0.96011	0.25657	0.92997	0.37772	0.1924	0.0622433333333334
0.3	0.5	0.7	-0.1	0.2	0.4	-0.01	-0.05	-0.03	0.61308	0.69	0.98488	0.96834	0.24135	0.93308	0.38981	0.19816	0.0612633333333334
0.5	0.5	0.7	-0.1	0.2	0.4	-0.01	-0.05	-0.03	0.930649999999999	0.69487	0.98685	0.96779	0.26088	0.93756	0.39474	0.20744	0.0608633333333334
0.2	0.7	0.7	-0.1	0.2	0.4	-0.01	-0.05	-0.03	0.40807	0.872423333333333	0.98471	0.97632	0.27039	0.94575	0.38054	0.2058	0.0618633333333333
0.3	0.7	0.7	-0.1	0.2	0.4	-0.01	-0.05	-0.03	0.60504	0.860473333333333	0.98728	0.99203	0.28068	0.94712	0.40045	0.21732	0.0612733333333333
0.5	0.7	0.7	-0.1	0.2	0.4	-0.01	-0.05	-0.03	0.929339999999999	0.835956666666666	0.9908	0.99198	0.28744	0.95149	0.41962	0.21757	0.0619333333333333
0.2	0.3	0.3	-0.01	0.3	0.4	-0.01	-0.05	-0.03	0.4109375	0.33288	0.79874	0.25903	0.3383	0.922960000000001	0.41619	0.20254	0.06298
0.3	0.3	0.3	-0.01	0.3	0.4	-0.01	-0.05	-0.03	0.649794166666667	0.34811	0.80466	0.25883	0.34063	0.928480000000001	0.41771	0.22635	0.06368
0.5	0.3	0.3	-0.01	0.3	0.4	-0.01	-0.05	-0.03	0.9215775	0.35994	0.82352	0.31562	0.36711	0.93439	0.44595	0.23752	0.06245
0.2	0.5	0.3	-0.01	0.3	0.4	-0.01	-0.05	-0.03	0.422297500000001	0.73414	0.82971	0.28842	0.37543	0.957239999999999	0.46427	0.2421	0.06251
0.3	0.5	0.3	-0.01	0.3	0.4	-0.01	-0.05	-0.03	0.6605475	0.74089	0.82477	0.31889	0.37933	0.958199999999999	0.45021	0.25963	0.06231
0.5	0.5	0.3	-0.01	0.3	0.4	-0.01	-0.05	-0.03	0.9226375	0.74294	0.83603	0.33608	0.40339	0.961229999999999	0.48195	0.25686	0.06213
0.2	0.7	0.3	-0.01	0.3	0.4	-0.01	-0.05	-0.03	0.446990833333334	0.914259999999999	0.862059999999999	0.31732	0.42855	0.962959999999999	0.46552	0.25443	0.06294
0.3	0.7	0.3	-0.01	0.3	0.4	-0.01	-0.05	-0.03	0.6950275	0.910429999999999	0.864239999999999	0.33066	0.44815	0.962419999999999	0.47941	0.24807	0.0633400000000001
0.5	0.7	0.3	-0.01	0.3	0.4	-0.01	-0.05	-0.03	0.94738	0.90276	0.87641	0.36435	0.472086666666667	0.96688	0.48211	0.26802	0.06413
0.2	0.3	0.5	-0.01	0.3	0.4	-0.01	-0.05	-0.03	0.39347	0.31931	0.95864	0.25183	0.32593	0.917340000000001	0.41745	0.20343	0.0617633333333334
0.3	0.3	0.5	-0.01	0.3	0.4	-0.01	-0.05	-0.03	0.629426666666667	0.31526	0.96604	0.26293	0.32555	0.919280000000001	0.41664	0.22827	0.0618033333333333
0.5	0.3	0.5	-0.01	0.3	0.4	-0.01	-0.05	-0.03	0.919619999999999	0.33469	0.97258	0.28785	0.35801	0.9243	0.41926	0.22774	0.0618333333333333
0.2	0.5	0.5	-0.01	0.3	0.4	-0.01	-0.05	-0.03	0.39158	0.72073	0.976834999999999	0.31154	0.36118	0.952989999999999	0.40885	0.22564	0.0609833333333334
0.3	0.5	0.5	-0.01	0.3	0.4	-0.01	-0.05	-0.03	0.650116666666667	0.72532	0.977914999999999	0.31428	0.36199	0.955539999999999	0.417	0.24605	0.0606633333333333
0.5	0.5	0.5	-0.01	0.3	0.4	-0.01	-0.05	-0.03	0.92808	0.72285	0.976354999999999	0.34799	0.40019	0.957199999999999	0.44554	0.24205	0.0606533333333333
0.2	0.7	0.5	-0.01	0.3	0.4	-0.01	-0.05	-0.03	0.427193333333334	0.916876666666666	0.982149999999999	0.30502	0.37688	0.959399999999999	0.44976	0.24872	0.0630233333333333
0.3	0.7	0.5	-0.01	0.3	0.4	-0.01	-0.05	-0.03	0.66447	0.89732	0.984399999999999	0.32688	0.38598	0.960489999999999	0.43329	0.23854	0.0630333333333334
0.5	0.7	0.5	-0.01	0.3	0.4	-0.01	-0.05	-0.03	0.943229999999999	0.8872	0.982639999999999	0.37002	0.418256666666667	0.964559999999999	0.46022	0.26522	0.06403
0.2	0.3	0.7	-0.01	0.3	0.4	-0.01	-0.05	-0.03	0.38178	0.28734	0.97113	0.24148	0.31759	0.893250000000001	0.39578	0.18095	0.0598833333333334
0.3	0.3	0.7	-0.01	0.3	0.4	-0.01	-0.05	-0.03	0.539	0.262	1	0.19	0.284	0.849	0.311	0.115	0.049
0.5	0.3	0.7	-0.01	0.3	0.4	-0.01	-0.05	-0.03	0.910359999999999	0.29241	0.97259	0.2936	0.3493	0.90298	0.40925	0.21634	0.0592433333333333
0.2	0.5	0.7	-0.01	0.3	0.4	-0.01	-0.05	-0.03	0.38391	0.67223	0.97581	0.26169	0.33719	0.92715	0.3868	0.22048	0.0613333333333334
0.3	0.5	0.7	-0.01	0.3	0.4	-0.01	-0.05	-0.03	0.61193	0.67325	0.980419999999999	0.27205	0.33169	0.93054	0.38218	0.24192	0.0607533333333333
0.5	0.5	0.7	-0.01	0.3	0.4	-0.01	-0.05	-0.03	0.91232	0.6867	0.98092	0.30561	0.35008	0.93412	0.38718	0.23578	0.0608133333333334
0.2	0.7	0.7	-0.01	0.3	0.4	-0.01	-0.05	-0.03	0.408973333333334	0.879316666666666	0.9863	0.3058	0.352086666666667	0.94622	0.39127	0.20949	0.0620033333333333
0.3	0.7	0.7	-0.01	0.3	0.4	-0.01	-0.05	-0.03	0.61909	0.875716666666666	0.98594	0.32174	0.358646666666667	0.94728	0.40324	0.2321	0.0625233333333333
0.5	0.7	0.7	-0.01	0.3	0.4	-0.01	-0.05	-0.03	0.92339	0.85814	0.98943	0.34487	0.389973333333333	0.9516	0.41928	0.22528	0.0629033333333334
0.2	0.3	0.3	-0.05	0.3	0.4	-0.01	-0.05	-0.03	0.4254475	0.32716	0.79684	0.92118	0.34105	0.92281	0.41366	0.20336	0.06218
0.3	0.3	0.3	-0.05	0.3	0.4	-0.01	-0.05	-0.03	0.653914166666667	0.347	0.79664	0.92918	0.34351	0.928700000000001	0.4169	0.21624	0.06329
0.5	0.3	0.3	-0.05	0.3	0.4	-0.01	-0.05	-0.03	0.9280675	0.35969	0.81683	0.98398	0.36769	0.93443	0.42244	0.21566	0.06283
0.2	0.5	0.3	-0.05	0.3	0.4	-0.01	-0.05	-0.03	0.431237500000001	0.73549	0.823899999999999	0.95516	0.37159	0.958649999999999	0.45043	0.23312	0.06199
0.3	0.5	0.3	-0.05	0.3	0.4	-0.01	-0.05	-0.03	0.6695275	0.75032	0.822049999999999	0.9699	0.39535	0.960579999999999	0.46407	0.22987	0.06185
0.5	0.5	0.3	-0.05	0.3	0.4	-0.01	-0.05	-0.03	0.9229075	0.74885	0.83724	0.98487	0.41937	0.96345	0.49192	0.23036	0.06203
0.2	0.7	0.3	-0.05	0.3	0.4	-0.01	-0.05	-0.03	0.445270833333334	0.917516666666666	0.863229999999999	0.97044	0.42974	0.965529999999999	0.44766	0.22939	0.06158
0.3	0.7	0.3	-0.05	0.3	0.4	-0.01	-0.05	-0.03	0.69995	0.91354	0.867019999999999	0.98502	0.4503	0.964439999999999	0.46653	0.22899	0.06305
0.5	0.7	0.3	-0.05	0.3	0.4	-0.01	-0.05	-0.03	0.945419999999999	0.88348	0.8763	0.99991	0.470986666666667	0.970929999999999	0.46987	0.22715	0.06288
0.2	0.3	0.5	-0.05	0.3	0.4	-0.01	-0.05	-0.03	0.40339	0.31443	0.96053	0.912516666666667	0.3244	0.918190000000001	0.40551	0.20297	0.0618133333333334
0.3	0.3	0.5	-0.05	0.3	0.4	-0.01	-0.05	-0.03	0.632966666666667	0.31287	0.96393	0.92049	0.32957	0.918840000000001	0.40781	0.20495	0.0618133333333334
0.5	0.3	0.5	-0.05	0.3	0.4	-0.01	-0.05	-0.03	0.93137	0.34167	0.96932	0.96824	0.36467	0.92508	0.42509	0.213	0.0621333333333333
0.2	0.5	0.5	-0.05	0.3	0.4	-0.01	-0.05	-0.03	0.39854	0.71186	0.984734999999999	0.95324	0.33752	0.951969999999999	0.42253	0.20919	0.0616433333333333
0.3	0.5	0.5	-0.05	0.3	0.4	-0.01	-0.05	-0.03	0.646836666666667	0.72138	0.982204999999999	0.96884	0.3489	0.954699999999999	0.42163	0.21164	0.0605333333333334
0.5	0.5	0.5	-0.05	0.3	0.4	-0.01	-0.05	-0.03	0.930449999999999	0.71814	0.979914999999999	0.99196	0.38911	0.954299999999999	0.42783	0.20705	0.0603533333333334
0.2	0.7	0.5	-0.05	0.3	0.4	-0.01	-0.05	-0.03	0.431293333333334	0.914106666666666	0.98622	0.95384	0.39152	0.961779999999999	0.46221	0.22048	0.0625933333333333
0.3	0.7	0.5	-0.05	0.3	0.4	-0.01	-0.05	-0.03	0.65638	0.905419999999999	0.984609999999999	0.96945	0.388	0.961549999999999	0.44418	0.21043	0.0632533333333333
0.5	0.7	0.5	-0.05	0.3	0.4	-0.01	-0.05	-0.03	0.948389999999999	0.88037	0.981349999999999	0.99246	0.427726666666667	0.965559999999999	0.44912	0.23564	0.06389
0.2	0.3	0.7	-0.05	0.3	0.4	-0.01	-0.05	-0.03	0.37919	0.29324	0.97388	0.91198	0.32486	0.895200000000001	0.37985	0.19238	0.0598833333333334
0.3	0.3	0.7	-0.05	0.3	0.4	-0.01	-0.05	-0.03	0.593886666666667	0.28566	0.97597	0.91982	0.32653	0.89672	0.38065	0.20886	0.0588633333333334
0.5	0.3	0.7	-0.05	0.3	0.4	-0.01	-0.05	-0.03	0.912995	0.30155	0.97267	0.95229	0.3549	0.90466	0.4074	0.20902	0.0598233333333333
0.2	0.5	0.7	-0.05	0.3	0.4	-0.01	-0.05	-0.03	0.37718	0.66995	0.982139999999999	0.93601	0.32915	0.926739999999999	0.36921	0.20626	0.0614933333333334
0.3	0.5	0.7	-0.05	0.3	0.4	-0.01	-0.05	-0.03	0.6019	0.68396	0.98474	0.94411	0.32852	0.93013	0.37891	0.21011	0.0609733333333334
0.5	0.5	0.7	-0.05	0.3	0.4	-0.01	-0.05	-0.03	0.90615	0.68864	0.98336	0.9761	0.35185	0.9361	0.38627	0.20928	0.0608533333333334
0.2	0.7	0.7	-0.05	0.3	0.4	-0.01	-0.05	-0.03	0.410303333333334	0.865506666666666	0.98732	0.95259	0.363676666666666	0.94477	0.39454	0.18756	0.0608333333333333
0.3	0.7	0.7	-0.05	0.3	0.4	-0.01	-0.05	-0.03	0.619503333333333	0.875526666666666	0.9856	0.97599	0.367596666666667	0.94613	0.40126	0.20612	0.0621833333333333
0.5	0.7	0.7	-0.05	0.3	0.4	-0.01	-0.05	-0.03	0.92111	0.856719999999999	0.98693	0.99192	0.393913333333333	0.95004	0.41548	0.20444	0.0630433333333334
0.2	0.3	0.3	-0.1	0.3	0.4	-0.01	-0.05	-0.03	0.43293	0.32588	0.79268	0.94447	0.33133	0.923360000000001	0.40313	0.215	0.06124
0.3	0.3	0.3	-0.1	0.3	0.4	-0.01	-0.05	-0.03	0.654884166666667	0.34132	0.79071	0.95267	0.34551	0.92855	0.41787	0.23701	0.062
0.5	0.3	0.3	-0.1	0.3	0.4	-0.01	-0.05	-0.03	0.9310175	0.35326	0.80745	0.97641	0.3616	0.93175	0.42866	0.23358	0.06214
0.2	0.5	0.3	-0.1	0.3	0.4	-0.01	-0.05	-0.03	0.435847500000001	0.72487	0.82141	0.97004	0.36795	0.956009999999999	0.44366	0.21785	0.06148
0.3	0.5	0.3	-0.1	0.3	0.4	-0.01	-0.05	-0.03	0.6671775	0.74985	0.81908	0.97754	0.39918	0.961249999999999	0.47202	0.23299	0.06129
0.5	0.5	0.3	-0.1	0.3	0.4	-0.01	-0.05	-0.03	0.9291175	0.75041	0.83367	0.98493	0.42485	0.96347	0.50249	0.24208	0.06174
0.2	0.7	0.3	-0.1	0.3	0.4	-0.01	-0.05	-0.03	0.456240833333333	0.910326666666666	0.86371	0.9704	0.4343	0.966059999999999	0.44562	0.23688	0.06192
0.3	0.7	0.3	-0.1	0.3	0.4	-0.01	-0.05	-0.03	0.6964475	0.905759999999999	0.863859999999999	0.98507	0.4532	0.965779999999999	0.47261	0.23111	0.06305
0.5	0.7	0.3	-0.1	0.3	0.4	-0.01	-0.05	-0.03	0.945409999999999	0.88152	0.874949999999999	0.99993	0.467566666666667	0.971289999999999	0.48528	0.23057	0.06312
0.2	0.3	0.5	-0.1	0.3	0.4	-0.01	-0.05	-0.03	0.41584	0.31139	0.95324	0.92045	0.32356	0.918220000000001	0.40436	0.21366	0.0610633333333334
0.3	0.3	0.5	-0.1	0.3	0.4	-0.01	-0.05	-0.03	0.633776666666667	0.31277	0.95888	0.94417	0.33245	0.918750000000001	0.41563	0.21643	0.0610833333333334
0.5	0.3	0.5	-0.1	0.3	0.4	-0.01	-0.05	-0.03	0.927909999999999	0.33241	0.96727	0.97621	0.35791	0.922160000000001	0.43615	0.22702	0.0616433333333333
0.2	0.5	0.5	-0.1	0.3	0.4	-0.01	-0.05	-0.03	0.410720000000001	0.72112	0.972424999999999	0.98446	0.3621	0.95272	0.41763	0.21118	0.0605233333333334
